id,lat,lon
73147477,21.6842369,37.3702960
73147554,21.6133267,37.2249440
73147631,21.6966261,37.3076599
73147700,21.5864410,37.2045370
73147712,21.6536771,37.2519536
73147895,21.6810649,37.2805093
73147922,21.6682676,37.2562450
73147965,21.6146166,37.4883393
73147972,21.6075135,37.2211206
73147976,21.5955195,37.2136820
73148021,21.6649535,37.2555495
73148036,21.6271968,37.4718009
73148161,21.6859959,37.2882741
73148243,21.6438544,37.2424280
73148259,21.5928138,37.2104054
73148282,21.6837723,37.3712874
73148619,21.6393149,37.2383845
73148640,21.6606449,37.4194143
73148854,21.6300076,37.4678804
73148896,21.5862425,37.2042801
73148900,21.6539209,37.2522198
73148946,21.6241103,37.2307608
73149026,21.6974116,37.3089452
73149182,21.6038320,37.2194323
73149224,21.6812955,37.2810895
73149274,21.5947550,37.2121939
73149350,21.6707874,37.2575374
73149398,21.6665842,37.2552372
73149451,21.6191608,37.4824782
73149455,21.5916505,37.2096029
73149466,21.6870880,37.2909558
73149489,21.6130800,37.2245418
73149495,21.6428597,37.2408996
73200885,22.7376248,37.5184112
73200903,22.7487043,37.5829359
73200947,22.7575161,37.4350219
73200954,22.7586414,37.3877571
73200960,22.7390957,37.5124417
73200975,22.7482939,37.5822775
73201024,22.7553574,37.5874427
73201042,22.7373090,37.5085457
73201065,22.7539426,37.4366408
73201176,22.7267556,37.5737952
73201183,22.7713332,37.4231000
73201205,22.7585959,37.4343441
73201213,22.7780648,37.3774363
73201247,22.7740816,37.3872695
73201313,22.7477460,37.4507364
73201324,22.7305447,37.4982691
73201381,22.7738476,37.5906802
73201388,22.7705725,37.4257962
73201433,22.7338555,37.5243949
73201442,22.7544503,37.4013050
73201496,22.7687878,37.4242125
73201513,22.7291718,37.5755129
73201537,22.7330762,37.5022485
73201569,22.7602724,37.4103270
73201585,22.7482312,37.4415850
73201596,22.7380097,37.4726714
73201619,22.7177433,37.5585361
73201656,22.7404705,37.4709932
73201782,22.7651715,37.4148163
73201790,22.7216461,37.5463735
73201879,22.7322984,37.4773467
73201905,22.7826295,37.3736027
73201917,22.7265528,37.5361839
73201946,22.7666212,37.4131120
73201997,22.7473046,37.4641943
73202016,22.7318144,37.5272927
73202023,22.7803747,37.3738426
73202078,22.7711302,37.4227358
73202101,22.7244087,37.5716689
73202118,22.7277423,37.4944417
73202125,22.7483983,37.4600685
73202165,22.7186851,37.5653838
73202190,22.7830751,37.3709950
73202256,22.7495006,37.4640328
73202262,22.7303841,37.5323625
73202400,22.7689935,37.4198234
73202403,22.7288323,37.4843919
73202409,22.7567663,37.4353338
73202432,22.7543713,37.3910317
73202435,22.7683340,37.5906059
73202478,22.7348755,37.5056772
73202485,22.7482655,37.5828016
73202560,22.7327492,37.5022137
73202567,22.7469462,37.5823071
73202658,22.7532399,37.4369968
73202724,22.7384049,37.5176699
73202738,22.7719020,37.4238412
73202775,22.7579868,37.4344920
73202813,22.7724847,37.3878072
73202855,22.7463009,37.4526884
73202900,22.7550940,37.4012956
73202923,22.7695845,37.4253038
