id,lat,lon
301074589,41.512272,26.5848606
301074590,41.5093978,26.5716312
301074591,41.5070584,26.5613034
301074592,41.5063315,26.5598611
301074593,41.5054595,26.5587047
301074594,41.5039505,26.5574081
301074595,41.5026312,26.5569904
306307443,41.501061,26.5353508
306307446,41.5083645,26.5357448
306307662,41.5318765,26.4917433
306307751,41.5361272,26.4775854
306307773,41.5386882,26.4760517
306307853,41.5427424,26.4754427
306307854,41.5440272,26.4754427
306307856,41.5446696,26.4740694
306307857,41.545312,26.4730394
306307859,41.5465968,26.4728678
306307860,41.5494231,26.4730394
306307862,41.5510932,26.4730394
306307863,41.5528917,26.4726961
306307864,41.555204,26.4720095
306307865,41.5568739,26.4706362
306307867,41.5581584,26.4696062
306307870,41.5614981,26.4696062
306307871,41.5620118,26.4690912
306307873,41.5622687,26.4677179
309122676,41.5675772,26.5913645
314701570,41.4930296,26.4988155
314701575,41.494849,26.4975153
314701784,41.4920176,26.501977
314701785,41.4920176,26.4994021
314701786,41.4935606,26.4978571
314701788,41.4954893,26.4985438
314701789,41.4969036,26.4992304
314701790,41.4990893,26.5004321
314701792,41.4978036,26.502492
314701793,41.4963893,26.5050669
314701794,41.4957462,26.5079907
314701795,41.4930463,26.5078135
314701797,41.4921462,26.5067835
314701798,41.4912461,26.5057536
314701988,41.5219535,26.4867603
314702318,41.5342529,26.4834772
314702319,41.5308473,26.4911264
314702332,41.4965605,26.4922156
314702619,41.5159296,26.4616366
314702621,41.5345645,26.4621516
314702625,41.5553779,26.4609499
314702627,41.5571762,26.460435
314702629,41.5580754,26.45992
314702630,41.5580754,26.4579395
345996094,41.5408255,26.4757998
346007286,41.503797,26.4781894
346007581,41.5029073,26.520559
346021078,41.4925463,26.5234665
346021089,41.51552,26.5248337
435577278,41.5098727,26.536167
435577280,41.5004866,26.537936
435577732,41.5109208,26.5228126
435582445,41.4938008,26.5139739
435582446,41.4943151,26.5167205
435582447,41.4952151,26.5194671
435582450,41.4949647,26.5218849
435582454,41.4988152,26.5191238
435582457,41.4977866,26.5192954
435582458,41.4971438,26.5162055
435582459,41.4987189,26.5146867
435582464,41.4980438,26.512429
435582468,41.4971438,26.5107124
435582469,41.4970317,26.5079343
435583544,41.480343,26.5301441
435584999,41.5053719,26.4748351
435585002,41.5134825,26.4625946
435585004,41.5615265,26.4621322
435585005,41.5611412,26.4636771
435585007,41.5611412,26.4652221
435585014,41.5613981,26.4669387
435585017,41.5602421,26.4696062
435585994,41.5005856,26.4811627
435585998,41.5010008,26.4837615
435586002,41.5002294,26.4859931
435586005,41.4990723,26.4894264
435586007,41.4989438,26.4922118
435586012,41.4954709,26.4956054
435586014,41.4968866,26.4966361
435586017,41.4961923,26.4988851
438502440,41.5505013,26.5854817
438502582,41.5665662,26.5885714
438502585,41.5656671,26.5866832
438502588,41.563869,26.5842799
438502592,41.5618139,26.5832499
438502595,41.559245,26.5823916
438502600,41.5559052,26.5825633
438502602,41.5530791,26.5837649
438502604,41.5493536,26.5863398
438502608,41.5476835,26.5873698
438502612,41.5458849,26.5878848
438502617,41.5434438,26.5883998
438502623,41.5403602,26.5880564
438502629,41.535863,26.5865115
438502633,41.532265,26.5854815
438502637,41.5300805,26.5851382
438502642,41.5260966,26.5856532
438502650,41.5224981,26.5863398
438502654,41.5183853,26.5873698
438504580,41.5032169,26.5930346
438504583,41.5011599,26.5935496
438504585,41.49846,26.5937213
438504587,41.4960171,26.5935496
438504589,41.4937027,26.592863
438504591,41.4897167,26.5911464
438504599,41.4866305,26.5897731
438504602,41.4847016,26.5894297
438504604,41.4817438,26.5896014
438504606,41.479043,26.5901164
438504608,41.476085,26.5916613
438504610,41.4731268,26.5940646
438504613,41.465795,26.6007594
438504615,41.4637368,26.6023043
438504618,41.4615499,26.602991
438504620,41.4592343,26.6036776
438504621,41.4548602,26.604021
438504625,41.4301954,26.6049762
438504627,41.4266336,26.6052074
438504630,41.4239753,26.6062526
438504632,41.4220829,26.6078506
438504634,41.4199521,26.6097389
438504636,41.4179733,26.6115632
438504638,41.4162189,26.6140924
438504641,41.4146741,26.6172811
438504643,41.4123897,26.6194705
438504645,41.4096861,26.6222171
438504647,41.4073686,26.6239337
438504648,41.4050511,26.6239551
438504649,41.4025886,26.6244272
438504650,41.4006732,26.6261653
438504652,41.3978564,26.6272167
438504654,41.3955064,26.6277102
438504656,41.3940577,26.6273025
438504658,41.3922869,26.6265086
438504660,41.3914982,26.6255644
438504662,41.3907094,26.624749
438504668,41.3890674,26.6239551
438504670,41.3880532,26.6241053
438504673,41.3866365,26.6241053
438504675,41.3850909,26.6241053
438509431,41.4925586,26.5923703
463166353,41.5007515,26.5313081
632979634,41.4708333,26.5332044
632979637,41.4718142,26.5304849
632979640,41.4738075,26.5274656
632979644,41.4753762,26.5229419
632979651,41.4757665,26.5205109
632979654,41.4757665,26.5184421
632979659,41.4758936,26.5162371
632979661,41.4766217,26.5139696
632979666,41.4803889,26.515911
632979670,41.4795466,26.5180846
632979672,41.4767974,26.5252876
